x,y,z
"0,8538048293","0,4680261059","-0,1532000753"
"0,8747527203","0,5170884522","-0,1021748801"
"0,8926150039","0,5686834468","-0,04628571117"
"0,9069041914","0,6228809685","0,01446291255"
"0,917101359","0,6795154219","0,0798329705"
"0,9225790445","0,7389433544","0,1501776803"
"0,9226884559","0,8005695346","0,2248687183"
"0,9167808009","0,8637987309","0,3032777609"
"0,9042072874","0,9280357118","0,3847764847"
"0,8845320235","0,9925360244","0,4685520218"
"0,8567738212","1,056501876","0,5538298746"
"0,8204064173","1,118559235","0,6391884048"
"0,7754379247","1,177007427","0,7227914061"
"0,721876456","1,230145775","0,8028026722"
"0,6597301241","1,276273604","0,8773859968"
"0,5893658075","1,313885278","0,9448738692"
"0,5112447026","1,340376216","1,00244993"
"0,4267926986","1,354704675","1,048782166"
"0,3374974006","1,355937044","1,082642951"
"0,2448464136","1,343139716","1,102804657"
"0,1503349525","1,316056541","1,108712674"
"0,05630200858","1,27446395","1,099718691"
"-0,03578467504","1,219886511","1,077021676"
"-0,1244674579","1,153867896","1,041840939"
"-0,2083096143","1,077944108","0,9953906745"
"-0,286125981","0,9940052532","0,9392400598"
"-0,3570856302","0,9043739754","0,8754032275"
"-0,4209368245","0,8110569358","0,8056589595"
"-0,4774415119","0,7160252935","0,731754807"
"-0,5265475911","0,6211656742","0,6553722878"
"-0,5685037634","0,528054587","0,5779400641"
"-0,6037271983","0,4377636337","0,5004452166"
